City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Prince Rupert,CA,2022-01-28 01:22:08,54.3161,-130.3201,49.69,46,20,18.41
193,Vestmannaeyjar,IS,2022-01-28 01:22:09,63.4427,-20.2734,43.02,87,100,26.04
194,Mareeba,AU,2022-01-28 01:22:09,-17.0,145.4333,83.44,79,95,2.28
195,Tefe,BR,2022-01-28 01:22:10,-3.3542,-64.7114,74.73,97,91,2.84
196,Obo,CF,2022-01-28 01:22:11,5.3998,26.4869,71.91,22,97,6.73
197,Rapar,IN,2022-01-28 01:22:11,23.5667,70.6333,57.27,40,0,7.16
198,Dingle,PH,2022-01-28 01:22:12,10.9995,122.6711,81.45,81,100,7.2
199,Vitim,RU,2022-01-28 01:22:13,59.4511,112.5578,-19.46,100,75,2.84
200,Fortuna,US,2022-01-28 01:20:18,40.5982,-124.1573,54.09,79,40,5.75
201,Kurumkan,RU,2022-01-28 01:22:14,54.3,110.3,-15.72,94,64,3.22
202,Provideniya,RU,2022-01-28 01:22:15,64.3833,-173.3,-1.64,71,0,4.47
203,Fairbanks,US,2022-01-28 01:21:26,64.8378,-147.7164,-7.26,76,100,0.0
204,Norman Wells,CA,2022-01-28 01:22:16,65.282,-126.8329,-0.36,78,100,4.61
205,Broome,US,2022-01-28 01:21:14,42.2506,-75.833,26.71,59,100,3.0
206,Jacareacanga,BR,2022-01-28 01:22:17,-6.2222,-57.7528,72.72,98,75,2.24
207,Lagos,NG,2022-01-28 01:22:18,6.5833,3.75,79.12,94,8,1.99
208,Bengkulu,ID,2022-01-28 01:20:21,-3.8004,102.2655,79.14,79,95,2.91
209,Chardara,KZ,2022-01-28 01:22:19,41.2547,67.9692,41.72,39,100,8.66
210,Launceston,AU,2022-01-28 01:20:46,-41.45,147.1667,80.62,68,100,5.99
211,Chitral,PK,2022-01-28 01:19:11,35.8462,71.7858,25.47,40,3,8.28
212,Tamiahua,MX,2022-01-28 01:22:21,21.2667,-97.45,66.88,80,99,4.47
213,Dalby,AU,2022-01-28 01:22:21,-27.1833,151.2667,78.98,69,84,3.0
214,Sidi Ali,DZ,2022-01-28 01:22:22,36.0998,0.4206,48.81,51,22,8.59
215,Soyo,AO,2022-01-28 01:22:23,-6.1349,12.3689,78.19,87,100,4.76
216,Venice,US,2022-01-28 01:22:24,27.0998,-82.4543,66.97,85,100,14.97
217,Bagan,RU,2022-01-28 01:22:24,54.1001,77.6646,-7.6,100,51,6.33
218,Yerbogachen,RU,2022-01-28 01:22:25,61.2767,108.0108,-27.18,100,91,3.53
219,Alvaraes,BR,2022-01-28 01:22:26,-3.2208,-64.8042,74.39,98,100,2.86
220,Cabo San Lucas,MX,2022-01-28 01:22:07,22.8909,-109.9124,72.52,60,0,11.5
221,Portland,US,2022-01-28 01:18:05,45.5234,-122.6762,46.81,63,0,1.99
222,Karratha,AU,2022-01-28 01:22:27,-20.7377,116.8463,83.82,54,34,13.0
223,Souillac,MU,2022-01-28 01:22:28,-20.5167,57.5167,73.78,83,40,3.44
224,Markala,ML,2022-01-28 01:22:29,13.7021,-6.0659,73.92,12,5,9.13
225,Tiksi,RU,2022-01-28 01:23:30,71.6872,128.8694,-14.24,97,44,10.27
226,Ha Tinh,VN,2022-01-28 01:23:30,18.3333,105.9,70.88,84,27,2.19
227,Fort Nelson,CA,2022-01-28 01:23:31,58.8053,-122.7002,22.59,93,100,6.91
